job_name,job_area,job_salary,com_name,com_type,com_size,finance_stage,work_year,education,job_benefits
php,石家庄·石家庄·育才,7-10K,百丰电子,批发/零售,20-99人,,3-5年,大专,双休、 法定节假日、 团建、 五险
Java中级开发工程师,石家庄·石家庄·维明,7-12K,河北财翔,政府/公共事业,20-99人,未融资,1-3年,本科,节日福利、 周末双休、 年终奖、 带薪年假、 五险一金、 定期体检、 意外险
大数据分析工程师,石家庄·石家庄·育才,10-15K,中移系统集成有限公司,通信/网络设备,1000-9999人,未融资,经验不限,本科,节日福利、 企业年金、 工龄奖、 高温补贴、 企业年金、 通讯补贴、 生日福利、 五险一金、 定期体检、 补充医疗保险、 劳保费、 交通补助、 法定节假日三薪、 年终奖、 带薪年假、 餐补、 包吃、 绩效奖金、 节日礼金、 团建聚餐
嵌入式软件研发工程师,石家庄·石家庄·经济开发区,10-15K,阿尔泰,数据服务,100-499人,未融资,3-5年,本科,年终奖、 节假日加班费、 五险、 法定节假日三薪、 加班补助、 包吃、 全勤奖、 绩效奖金、 节日福利、 带薪年假、 餐补
.net开发工程师,石家庄·石家庄·长江大道,5-9K,河北鲁邹网络,互联网,20-99人,未融资,1年以内,大专,节日福利、 全勤奖、 年终奖、 五险一金、 员工旅游、 员工生日会、 带薪年假、 零食下午茶、 餐补、 不定期团建
PHP开发工程师,石家庄·石家庄·光华路,5-10K,即通,企业服务,20-99人,未融资,1-3年,本科,团建聚餐、 有无线网、 五险一金、 保底工资、 生日福利、 全勤奖、 年终奖
规划设计负责人,石家庄·石家庄·维明,7-10K,河北科荣,其他专业服务,0-20人,,3-5年,本科,
GIS开发工程师,石家庄·石家庄·新石北路,8-13K,河北中科华星,计算机软件,20-99人,不需要融资,3-5年,本科,餐补、 年终奖、 带薪年假、 节日福利、 五险一金、 员工旅游
弱电、网络运维工程师,石家庄·石家庄·天山海世界,6-9K,载驰,计算机软件,20-99人,未融资,3-5年,大专,通讯补贴、 带薪年假、 加班补助、 年终奖、 员工旅游、 五险
IT运维工程师,石家庄·石家庄·红旗,4-6K,蝼蚁,互联网,20-99人,,1-3年,大专,节日福利、 零食下午茶、 餐补、 五险一金、 加班补助
