job_name,job_area,job_salary,com_name,com_type,com_size,finance_stage,work_year,education,job_benefits
高级图像算法工程师(J10112),厦门·集美区·灌口,18-22K·15薪,星纵物联,计算机软件,500-999人,未融资,经验不限,本科,零食下午茶，员工旅游，年终奖，五险一金，绩效奖金，半年奖，带薪年假
高级算法工程师,厦门·海沧区·未来海岸,25-35K·14薪,朴蜂,仪器仪表/工业自动化,0-20人,B轮,3-5年,大专,五险一金，年终奖
算法工程师(图像识别),厦门·思明区·松柏,15-25K,今天国际,物流/仓储,500-999人,已上市,5-10年,硕士,零食下午茶，五险一金，带薪年假，节日福利，补充医疗保险，员工旅游
算法工程师（图像方向）,厦门·集美区·杏林,12-24K·14薪,海拓-无锡,计算机软件,20-99人,未融资,3-5年,硕士,餐补，五险一金，节日福利，零食下午茶，补充医疗保险，股票期权，交通补助，定期体检，带薪年假，加班补助，住房补贴，通讯补贴，包吃，年终奖，员工旅游
AI/AR算法工程师,厦门·思明区·软件园,15-30K·14薪,咪咕动漫,互联网,100-499人,未融资,3-5年,本科,
算法工程师,厦门·海沧区·新阳工业区,15-30K,华为云计算,计算机服务,10000人以上,不需要融资,经验不限,硕士,夜班补助，免费班车，补充医疗保险，交通补助，节假日加班费，法定节假日三薪，绩效奖金，定期体检，年终奖，五险一金，带薪年假，生日福利，员工旅游，节日福利，加班补助
雷达算法工程师,厦门·思明区·观音山,25-40K,佰思特,咨询,100-499人,未融资,5-10年,本科,
语音合成算法工程师,厦门,15-25K·13薪,天聪软件,计算机软件,20-99人,不需要融资,1-3年,本科,五险一金，节日福利，补充医疗保险，年终奖，加班补助，零食下午茶，带薪年假
高级算法工程师,厦门·思明区·软件园,15-30K,印天电子,计算机软件,100-499人,不需要融资,1-3年,本科,加班补助，五险一金，年终奖，全勤奖
算法工程师,厦门·集美区·灌口,10-15K,大象健康,计算机软件,20-99人,不需要融资,3-5年,本科,员工旅游，年终奖，股票期权
计算机视觉工程师（传统图像算法）,厦门·同安区·后田海鲜船坞,15-30K·15薪,美图公司,互联网,1000-9999人,已上市,经验不限,硕士,免费班车，五险一金，餐补，交通补助，带薪年假，全勤奖，年终奖，定期体检，节日福利
计算机视觉算法应用工程师,厦门,20-30K,某大型医疗设备公司,医疗设备/器械,100-499人,C轮,经验不限,学历不限,五险一金，员工旅游，年终奖，补充医疗保险，定期体检，带薪年假，股票期权，餐补，节日福利
图像视觉算法工程师,厦门·思明区·软件园,12-18K·14薪,福信光电,智能硬件,100-499人,未融资,3-5年,本科,五险一金，零食下午茶，加班补助，年终奖，员工旅游，定期体检，带薪年假，节日福利
推荐算法工程师/专家,厦门·思明区·观音山,25-45K·13薪,畅读,媒体,100-499人,不需要融资,1-3年,本科,生日福利，零食下午茶，加班补助，股票期权，定期体检，五险一金，团建聚餐，绩效奖金，带薪年假，员工旅游，节日福利，保底工资，交通补助，年终奖
高级算法研究员,厦门·集美区·杏林,35-60K·13薪,天津猎贤,人力资源服务,0-20人,未融资,5-10年,硕士,
算法工程架构部总监（P7/P8）,厦门,50-80K,某大型互联网公司,互联网,100-499人,不需要融资,经验不限,本科,租房补贴，五险一金，年终奖，加班补助，带薪年假，交通补助，节日福利，零食下午茶
计算机视觉算法工程师,厦门·湖里区·高崎,11-20K·13薪,睿视智觉,智能硬件,20-99人,A轮,3-5年,本科,员工旅游，年终奖，定期体检，带薪年假，五险一金，节日福利
AI算法工程师,厦门·思明区·软件园,15-25K·13薪,睿云联,智能硬件,100-499人,不需要融资,经验不限,本科,带薪年假，年终奖，产假，产前检查假，员工旅游，产前休息假，绩效奖金，通讯补贴，零食下午茶，交通补助，补充医疗保险，团建聚餐，加班补助，股票期权，定期体检，独生子女护理，哺乳假，育儿假，五险一金，节日福利
ai图像算法工程师,厦门·集美区·杏林,13-26K,旷时科技,电子/半导体/集成电路,20-99人,天使轮,1-3年,本科,绩效奖金，节日福利，带薪年假，人身意外险，股票期权，五险一金，零食下午茶，意外险，交通补助，定期体检
高级算法研究员,厦门,35-60K·13薪,某大型企业服务公司,企业服务,100-499人,B轮,经验不限,硕士,节日福利，全勤奖，五险一金，股票期权，加班补助，团建聚餐，年终奖，零食下午茶，带薪年假，员工旅游，定期体检，生日福利
slam算法工程师,厦门,15-30K·15薪,某广播公司,广播/影视,20-99人,不需要融资,3-5年,本科,餐补，定期体检，年终奖，加班补助，带薪年假，五险一金，节日福利，住房补贴
中级算法工程师,厦门,10-13K·13薪,同步天成,计算机软件,100-499人,已上市,1-3年,大专,节日福利，零食下午茶，定期体检，年终奖，五险一金，运动俱乐部，股票期权，带薪年假
算法工程师,厦门·思明区·软件园,12-22K·13薪,易联众,计算机软件,1000-9999人,已上市,1-3年,硕士,年终奖，补充医疗保险，交通补助，定期体检，五险一金，零食下午茶，节日福利，电脑补贴，带薪年假，加班补助，员工旅游，通讯补贴
大数据算法工程师,厦门,25-35K·15薪,某大型企业服务公司,企业服务,100-499人,不需要融资,3-5年,本科,通讯补贴，五险一金，带薪年假，高温补贴，节日福利，免费健身房，餐补，工会福利，夜班补助，交通补助，定期体检，团建聚餐，企业年金，工龄奖，包吃，年终奖，补充医疗保险，零食下午茶，免费班车，企业年金
图像处理算法（助理）工程师,厦门,5-10K,厦门恺成,机械设备/机电/重工,20-99人,未融资,经验不限,本科,
算法工程师,厦门·思明区·前埔,30-60K·13薪,最有料,电子商务,1000-9999人,不需要融资,3-5年,本科,五险一金，带薪年假，节日福利，免费班车，过节费，零食下午茶，年终奖，工龄工资，餐补，交通补助，全勤奖，股票期权
视觉定位与建图算法工程师,厦门·湖里区·兴湖路沿线,20-30K,明见技术,智能硬件,100-499人,B轮,3-5年,硕士,加班补助，员工旅游，带薪年假，零食下午茶，五险一金，定期体检，补充医疗保险，年终奖，节日福利
slam算法工程师,厦门·思明区·观音山,20-30K·13薪,海马云,移动互联网,100-499人,D轮及以上,1-3年,本科,定期体检，五险一金，员工旅游，补充医疗保险，免费班车，年终奖，带薪年假，通讯补贴，零食下午茶，节日福利
高级算法工程师,厦门·思明区·软件园,15-25K,神州鹰,移动互联网,100-499人,D轮及以上,3-5年,本科,股票期权，定期体检，绩效奖金，零食下午茶，补充医疗保险，底薪加提成，团建聚餐，年终奖，带薪年假，五险一金，餐补，节日福利
